Label,Nodes,Edges,Average Degree,Diameter,Clustering Coefficient,File
A,100,251,5.02,5,0.0507302,graphs/graph_A_n100_p005.txt
B,100,991,19.82,3,0.193925,graphs/graph_B_n100_p02.txt
C,1000,5026,10.052,5,0.00795596,graphs/graph_C_n1000_p001.txt
D,1000,49850,99.7,2,0.0996412,graphs/graph_D_n1000_p01.txt
E,10000,50138,10.0276,7,0.000627542,graphs/graph_E_n10000_p0001.txt
F,10000,500783,100.157,3,0.00999925,graphs/graph_F_n10000_p001.txt
G,50000,249711,9.98844,7,0.000135171,graphs/graph_G_n50000_p00002.txt
H,50000,2497237,99.8895,3,0.00199971,graphs/graph_H_n50000_p0002.txt
A,1,100,245,4.9,4,0.0362937,graphs/graph_A_run1_n100_p005.txt
A,2,100,238,4.76,7,0.0498413,graphs/graph_A_run2_n100_p005.txt
A,3,100,234,4.68,7,0.0449784,graphs/graph_A_run3_n100_p005.txt
A,4,100,274,5.48,5,0.0370657,graphs/graph_A_run4_n100_p005.txt
A,5,100,235,4.7,6,0.0215079,graphs/graph_A_run5_n100_p005.txt
A-MEDIAN,-,100,238,4.76,6,0.0370657,-
B,1,100,964,19.28,3,0.193198,graphs/graph_B_run1_n100_p02.txt
B,2,100,982,19.64,3,0.190361,graphs/graph_B_run2_n100_p02.txt
B,3,100,996,19.92,3,0.186698,graphs/graph_B_run3_n100_p02.txt
B,4,100,1014,20.28,3,0.195294,graphs/graph_B_run4_n100_p02.txt
B,5,100,948,18.96,3,0.181462,graphs/graph_B_run5_n100_p02.txt
B-MEDIAN,-,100,982,19.64,3,0.190361,-
C,1,1000,5064,10.128,5,0.00808715,graphs/graph_C_run1_n1000_p001.txt
C,2,1000,4972,9.944,5,0.00537121,graphs/graph_C_run2_n1000_p001.txt
C,3,1000,4855,9.71,5,0.0055829,graphs/graph_C_run3_n1000_p001.txt
C,4,1000,4951,9.902,5,0.00738222,graphs/graph_C_run4_n1000_p001.txt
C,5,1000,4980,9.96,5,0.00600763,graphs/graph_C_run5_n1000_p001.txt
C-MEDIAN,-,1000,4972,9.944,5,0.00600763,-
D,1,1000,49973,99.946,2,0.099918,graphs/graph_D_run1_n1000_p01.txt
D,2,1000,49740,99.48,2,0.0995078,graphs/graph_D_run2_n1000_p01.txt
D,3,1000,49976,99.952,2,0.100159,graphs/graph_D_run3_n1000_p01.txt
D,4,1000,49823,99.646,2,0.099562,graphs/graph_D_run4_n1000_p01.txt
D,5,1000,49855,99.71,2,0.0996522,graphs/graph_D_run5_n1000_p01.txt
D-MEDIAN,-,1000,49855,99.71,2,0.0996522,-
E,1,10000,50019,10.0038,6,0.000756691,graphs/graph_E_run1_n10000_p0001.txt
E,2,10000,49565,9.913,6,0.000702547,graphs/graph_E_run2_n10000_p0001.txt
E,3,10000,49838,9.9676,6,0.000745538,graphs/graph_E_run3_n10000_p0001.txt
E,4,10000,50008,10.0016,6,0.000648175,graphs/graph_E_run4_n10000_p0001.txt
E,5,10000,50295,10.059,7,0.000746635,graphs/graph_E_run5_n10000_p0001.txt
E-MEDIAN,-,10000,50008,10.0016,6,0.000745538,-
F,1,10000,500253,100.051,3,0.010038,graphs/graph_F_run1_n10000_p001.txt
F,2,10000,499461,99.8922,3,0.0100027,graphs/graph_F_run2_n10000_p001.txt
F,3,10000,499687,99.9374,3,0.00998044,graphs/graph_F_run3_n10000_p001.txt
F,4,10000,499987,99.9974,3,0.00996757,graphs/graph_F_run4_n10000_p001.txt
F,5,10000,500315,100.063,3,0.0100076,graphs/graph_F_run5_n10000_p001.txt
F-MEDIAN,-,10000,499987,99.9974,3,0.0100027,-
G,1,50000,249922,9.99688,8,0.000131289,graphs/graph_G_run1_n50000_p00002.txt
G,2,50000,250135,10.0054,7,0.000135328,graphs/graph_G_run2_n50000_p00002.txt
G,3,50000,250174,10.007,7,0.000164744,graphs/graph_G_run3_n50000_p00002.txt
A,100,213,4.26,6,0.0401025,graphs/graph_A_n100_p005.txt
B,100,1050,21.0,2,0.218805,graphs/graph_B_n100_p02.txt
C,1000,4961,9.922,5,0.00774764,graphs/graph_C_n1000_p001.txt
D,1000,49979,99.958,2,0.100018,graphs/graph_D_n1000_p01.txt
E,10000,49990,9.998,6,0.000701656,graphs/graph_E_n10000_p0001.txt
F,10000,501774,100.355,3,0.0100027,graphs/graph_F_n10000_p001.txt
G,50000,250121,10.0048,7,0.000134131,graphs/graph_G_n50000_p00002.txt
H,50000,2498530,99.9412,3,0.00200028,graphs/graph_H_n50000_p0002.txt
